"ALIASNAME";"Höhe ü NN";"Breite";"Länge";"nieder";"Breite";"Lange"
"BESCHOTENWEG";3;"53°11'";"07°18'";704.7;53.18;7.3
"BESDORF";16;"54°03'";"09°21'";998.2;54.05;9.35
"BESTWIG-NUTTLAR";330;"51°22'";"08°25'";1065.9;51.37;8.42
"BETHAU";78;"51°40'";"13°00'";480.3;51.67;13
"BETTENHAUSEN";360;"50°33'";"10°17'";673.9;50.55;10.28
"BETZENSTEIN";501;"49°40'";"11°25'";1020.6;49.67;11.42
"BEUREN,KR.TRIER-SAARBURG";505;"49°43'";"06°55'";981.8;49.72;6.92
"BEVENSEN,BAD";32;"53°05'";"10°34'";642.9;53.08;10.57
"BEVERUNGEN";101;"51°40'";"09°22'";779.1;51.67;9.37
"BEXBACH-HOECHEN";415;"49°23'";"07°16'";929.6;49.38;7.27
"BEYENDORF-SOHLEN";58;"52°02'";"11°38'";466.2;52.03;11.63
"BIBERBACH";440;"48°31'";"10°48'";755.1;48.52;10.8
"BIBLIS";88;"49°41'";"08°25'";635.4;49.68;8.42
"BIBRA,BAD";190;"51°12'";"11°34'";577.0;51.2;11.57
"BIEBERGEMUEND-BIEBER";223;"50°09'";"09°20'";943.1;50.15;9.33
"BIEDENKOPF";290;"50°55'";"08°31'";901.7;50.92;8.52
"BIEDENKOPF (SACKPFEIFE)";674;"50°57'";"08°32'";935.4;50.95;8.53
"BIELATAL";364;"50°52'";"14°02'";740.9;50.87;14.03
"BIELEFELD (STADTREINIG.)";99;"52°02'";"08°33'";886.7;52.03;8.55
"BIELEFELD-ALTENHAGEN";96;"52°02'";"08°38'";732.2;52.03;8.63
"BIELEFELD-BRACKWEDE";155;"51°59'";"08°31'";890.0;51.98;8.52
"BIELEFELD-SENNE";250;"51°59'";"08°33'";977.6;51.98;8.55
"BIELEFELD-SENNESTADT";127;"51°56'";"08°35'";900.9;51.93;8.58
"BIENDORF";79;"51°45'";"11°51'";467.3;51.75;11.85
"BIENENBUETTEL";24;"53°08'";"10°29'";645.7;53.13;10.48
"BIERINGEN";210;"49°21'";"09°32'";779.5;49.35;9.53
"BIESENRODE";210;"51°36'";"11°23'";545.1;51.6;11.38
"BILLERBECK";111;"51°59'";"07°18'";838.9;51.98;7.3
"BINGEN,KR.SIGMARINGEN";630;"48°06'";"09°16'";772.5;48.1;9.27
"BINGEN-BUEDESHEIM";82;"49°56'";"07°54'";563.7;49.93;7.9
"BINZ";30;"54°23'";"13°36'";611.0;54.38;13.6
"BIRGLAND-FUERNRIED";512;"49°27'";"11°35'";893.6;49.45;11.58
"BIRNBACH,BAD";360;"48°26'";"13°05'";823.8;48.43;13.08
"BIRSTEIN-FISCHBORN";340;"50°23'";"09°18'";953.3;50.38;9.3
"BIRX";739;"50°31'";"10°02'";1001.3;50.52;10.03
"BISCHBRUNN";412;"49°52'";"09°29'";965.2;49.87;9.48
"BISCHDORF,KR.OBERSPREEW.";76;"51°48'";"13°58'";552.3;51.8;13.97
"BISCHHAGEN";332;"51°24'";"10°05'";718.0;51.4;10.08
"BISCHOFRODA";235;"51°03'";"10°22'";662.4;51.05;10.37
"BISCHOFRODE";275;"51°29'";"11°32'";518.5;51.48;11.53
"BISCHOFSGRUEN (NST)";660;"50°03'";"11°47'";1107.1;50.05;11.78
"BISCHOFSHEIM/RHOEN";465;"50°24'";"10°00'";1006.9;50.4;10
"BISCHOFSMAIS";684;"48°55'";"13°04'";1169.8;48.92;13.07
"BISCHOFSWERDA";300;"51°08'";"14°11'";763.5;51.13;14.18
"BISCHOFSWIESEN-ENGEDEY";592;"47°36'";"12°56'";1649.3;47.6;12.93
"BISCHOFSWIESEN-LOIPL";870;"47°39'";"12°55'";1800.6;47.65;12.92
"BISCHOFSWIESEN-WINKL";690;"47°41'";"12°56'";1702.7;47.68;12.93
"BISMARK";44;"52°39'";"11°33'";534.3;52.65;11.55
"BISPINGEN-HUETZEL";63;"53°05'";"10°01'";798.0;53.08;10.02
"BISPINGEN-WILSEDE";116;"53°10'";"09°57'";820.4;53.17;9.95
"BISSENDORF-HOLTE-SUENSB.";180;"52°12'";"08°11'";851.9;52.2;8.18
"BISSENDORF-SCHLEDEHAUSEN";110;"52°16'";"08°14'";760.6;52.27;8.23
"BISSINGEN (KLAERANLAGE)";425;"48°42'";"10°37'";701.2;48.7;10.62
"BITBURG";369;"49°58'";"06°32'";793.8;49.97;6.53
"BITTERFELD";80;"51°38'";"12°19'";515.9;51.63;12.32
"BLANKENBURG,BAD";245;"50°41'";"11°16'";572.4;50.68;11.27
"BLANKENBURG/HARZ";168;"51°47'";"10°59'";540.8;51.78;10.98
"BLANKENFELDE";42;"52°20'";"13°24'";563.8;52.33;13.4
"BLANKENHAGEN";26;"54°10'";"12°20'";676.5;54.17;12.33
"BLANKENHAIN";365;"50°51'";"11°20'";670.9;50.85;11.33
"BLANKENHAIN-DROESSNITZ";400;"50°49'";"11°25'";619.0;50.82;11.42
"BLANKENHEIM-AHRHUETTE";400;"50°23'";"06°44'";679.6;50.38;6.73
"BLANKENRATH";417;"50°02'";"07°18'";855.6;50.03;7.3
"BLANKENSTEIN";480;"50°24'";"11°41'";762.2;50.4;11.68
"BLAUBEUREN-STEIGZIEGELH.";686;"48°25'";"09°45'";792.7;48.42;9.75
"BLAUFELDEN";450;"49°18'";"09°58'";852.9;49.3;9.97
"BLAUFELDEN-GAMMESFELD";465;"49°18'";"10°05'";757.4;49.3;10.08
"BLAUSTEIN-BERMARINGEN";635;"48°27'";"09°50'";802.5;48.45;9.83
"BLECKEDE";8;"53°17'";"10°43'";613.0;53.28;10.72
"BLECKEDE-WALMSBURG";11;"53°14'";"10°51'";628.6;53.23;10.85
"BLEICHERODE";244;"51°26'";"10°34'";678.9;51.43;10.57
"BLESENDORF";92;"53°12'";"12°20'";572.1;53.2;12.33
"BLIESKASTEL";255;"49°14'";"07°15'";835.4;49.23;7.25
"BLIESKASTEL-BRENSCHELB.";250;"49°09'";"07°21'";967.0;49.15;7.35
"BLINDHEIM";420;"48°38'";"10°37'";726.2;48.63;10.62
"BLUMBERG";707;"47°50'";"08°32'";840.5;47.83;8.53
"BLUMBERG, KR.BARNIM";75;"52°36'";"13°36'";624.3;52.6;13.6
"BOBENNEUKIRCHEN";453;"50°22'";"12°03'";645.7;50.37;12.05
"BOBINGEN-STRASSBERG";551;"48°16'";"10°46'";884.7;48.27;10.77
"BOCHOLT-LIEDERN (AWST)";21;"51°49'";"06°32'";752.5;51.82;6.53
"BOCHUM-LANGENDREER";99;"51°28'";"07°19'";782.9;51.47;7.32
"BOCHUM-WEITMAR";128;"51°27'";"07°12'";836.3;51.45;7.2
"BOCKAU";509;"50°32'";"12°41'";938.2;50.53;12.68
"BOCKENEM";125;"52°00'";"10°07'";720.8;52;10.12
"BOCKHORN/OBB.-GRUENBACH";452;"48°19'";"12°00'";939.6;48.32;12
"BOCKLET,BAD";238;"50°15'";"10°05'";713.3;50.25;10.08
"BODDIN-LANGNOW-HEIDELBER";66;"53°05'";"12°18'";590.6;53.08;12.3
"BODENFELDE(FO.WINNEFELD)";282;"51°41'";"09°27'";833.0;51.68;9.45
"BODENFELDE-AMELITH";245;"51°41'";"09°30'";906.2;51.68;9.5
"BODENHAEUSLE";708;"48°11'";"08°07'";1650.8;48.18;8.12
"BODENKIRCHEN-AICH";464;"48°25'";"12°24'";854.5;48.42;12.4
"BODENMAIS (AKKST)";648;"49°04'";"13°04'";1251.4;49.07;13.07
"BODENTEICH, BAD";64;"52°50'";"10°40'";641.0;52.83;10.67
"BODENWOEHR-ALTENSCHWAND";430;"49°17'";"12°14'";737.5;49.28;12.23
"BODMAN-LUDWIGSHAFEN";415;"47°47'";"09°02'";835.6;47.78;9.03
"BODNEGG-BILLEN";640;"47°43'";"09°41'";1236.5;47.72;9.68
"BOEBING";744;"47°45'";"10°59'";1168.0;47.75;10.98
"BOEBLINGEN";445;"48°40'";"08°58'";738.2;48.67;8.97
"BOEHMFELD";488;"48°52'";"11°22'";666.4;48.87;11.37
"BOEHMING";379;"48°56'";"11°22'";735.9;48.93;11.37
"BOEK";64;"53°24'";"12°47'";568.2;53.4;12.78
"BOENNIGHEIM";228;"49°02'";"09°05'";710.3;49.03;9.08
"BOERFINK";531;"49°41'";"07°04'";1132.7;49.68;7.07
"BOERLN";145;"51°22'";"12°55'";609.4;51.37;12.92
"BOERNICKE, KR.HAVELLAND";34;"52°41'";"12°56'";562.7;52.68;12.93
"BOESLEBEN";360;"50°49'";"11°03'";563.8;50.82;11.05
"BOETTINGEN";928;"48°06'";"08°48'";973.3;48.1;8.8
"BOGEN-PFELLING";345;"48°53'";"12°44'";799.5;48.88;12.73
"BOITIN";65;"53°45'";"11°58'";625.9;53.75;11.97
"BOIZENBURG (WEWA)";45;"53°23'";"10°41'";662.7;53.38;10.68
"BOLL (ORT),KR.GOEPPINGEN";420;"48°38'";"09°36'";956.6;48.63;9.6
"BOLLERSDORF";90;"52°35'";"14°03'";578.0;52.58;14.05
"BOLTENHAGEN (WEWA)";15;"54°00'";"11°11'";535.8;54;11.18
"BONDORF";456;"48°31'";"08°50'";751.9;48.52;8.83
"BONN";62;"50°43'";"07°05'";642.7;50.72;7.08
"BONN-FRIESDORF (AWST)";62;"50°42'";"07°08'";680.6;50.7;7.13
"BONNDORF/SCHW.";875;"47°49'";"08°20'";888.9;47.82;8.33
"BOOS";588;"48°04'";"10°12'";944.9;48.07;10.2
"BOPFINGEN";497;"48°51'";"10°21'";834.3;48.85;10.35
"BOPFINGEN-BALDERN";530;"48°54'";"10°18'";846.7;48.9;10.3
"BOPPARD-SALZIG,BAD";77;"50°12'";"07°38'";666.8;50.2;7.63
"BORDESHOLM";30;"54°11'";"10°03'";848.2;54.18;10.05
"BORGENTREICH";206;"51°34'";"09°14'";677.8;51.57;9.23
"BORGENTREICH-BUEHNE";240;"51°34'";"09°18'";687.9;51.57;9.3
"BORGSTEDT";13;"54°20'";"09°43'";841.3;54.33;9.72
"BORKEN I.W.";48;"51°52'";"06°53'";852.3;51.87;6.88
"BORKEN/HESSEN-GOMBETH";172;"51°03'";"09°17'";560.7;51.05;9.28
"BORKUM";5;"53°33'";"06°44'";784.4;53.55;6.73
"BORLER";440;"50°18'";"06°49'";724.7;50.3;6.82
"BORN";60;"52°22'";"11°28'";552.4;52.37;11.47
"BORNA (SPEICHERBECKEN)";135;"51°09'";"12°28'";555.3;51.15;12.47
"BORNHAGEN";320;"51°19'";"09°56'";656.8;51.32;9.93
"BORNHOEVED";40;"54°04'";"10°14'";788.2;54.07;10.23
"BORNUM";80;"51°58'";"12°12'";538.3;51.97;12.2
"BORRENTIN-WOLKWITZ";34;"53°47'";"12°55'";555.3;53.78;12.92
"BOTHEL-SUEDERWALSEDE";61;"53°00'";"09°21'";758.6;53;9.35
"BOTTMERSDORF-KLEIN GERM.";83;"52°01'";"11°24'";497.8;52.02;11.4
"BOVENDEN";140;"51°35'";"09°55'";668.1;51.58;9.92
"BOXBERG";125;"51°24'";"14°34'";601.4;51.4;14.57
"BOXBERG-SEEHOF";373;"49°26'";"09°38'";625.5;49.43;9.63
"BRACHSTEDT-HOHEN";120;"51°34'";"12°04'";515.0;51.57;12.07
"BRACHT";51;"51°17'";"06°12'";782.7;51.28;6.2
"BRACHTTAL-SPIELBERG";332;"50°18'";"09°16'";971.0;50.3;9.27
"BRAEUNSDORF, KRS.CHEMNIT";345;"50°52'";"12°43'";733.4;50.87;12.72
"BRAKE (UNTERWESER)";1;"53°19'";"08°28'";709.7;53.32;8.47
"BRAKEL";145;"51°42'";"09°10'";818.6;51.7;9.17
"BRAMBACH,BAD RAUN-GUERTH";600;"50°14'";"12°15'";665.9;50.23;12.25
"BRAMSCHE";58;"52°24'";"07°58'";783.4;52.4;7.97
"BRAMSTEDT,BAD-BIMOEHLEN";15;"53°56'";"09°57'";826.1;53.93;9.95
"BRAMSTEDT-HAGEN";237;"53°23'";"08°38'";766.4;53.38;8.63
"BRAND/OPF.";592;"49°57'";"11°54'";1043.4;49.95;11.9
"BRANDE-HOERNERKIRCHEN";9;"53°51'";"09°42'";856.5;53.85;9.7
"BRANDENBURG-GOERDEN";35;"52°24'";"12°33'";555.8;52.4;12.55
"BRANNENBURG-DEGERNDORF";481;"47°43'";"12°06'";1346.4;47.72;12.1
"BRAUNFELS";235;"50°31'";"08°23'";751.9;50.52;8.38
"BRAUNICHSWALDE";320;"50°48'";"12°13'";639.8;50.8;12.22
"BRAUNLAGE (AWST)";607;"51°43'";"10°36'";1263.8;51.72;10.6
"BRAUNLAGE-HOHEGEISS (A)";600;"51°40'";"10°40'";1110.8;51.67;10.67
"BRAUNSCHWEIG-GLIESMARODE";83;"52°16'";"10°34'";617.3;52.27;10.57
"BRAUNSCHWEIG-VOEL.(WEWA)";88;"52°17'";"10°26'";618.4;52.28;10.43
"BRAUNSDORF";300;"50°53'";"13°01'";810.1;50.88;13.02
"BREBEL";23;"54°38'";"09°44'";807.4;54.63;9.73
"BRECHEN-NIEDERBRECHEN";193;"50°22'";"08°10'";631.2;50.37;8.17
"BRECKERFELD(ENNEPETALSP)";279;"51°14'";"07°24'";1244.1;51.23;7.4
"BRECKERFELD-ZURSTRASSE";410;"51°18'";"07°27'";1142.3;51.3;7.45
"BREDDENBERG";14;"52°57'";"07°37'";736.0;52.95;7.62
"BREDDIN";43;"52°53'";"12°10'";553.4;52.88;12.17
"BREDEREICHE";55;"53°08'";"13°14'";591.1;53.13;13.23
"BREESE";25;"53°00'";"11°47'";593.4;53;11.78
"BREHNA";94;"51°33'";"12°12'";494.7;51.55;12.2
"BREISACH";194;"48°01'";"07°35'";637.9;48.02;7.58
"BREITENBACH-MACHTLOS";370;"50°48'";"09°29'";786.7;50.8;9.48
"BREITENBRUNN/OPF.-GIMPE.";501;"49°06'";"11°34'";776.4;49.1;11.57
"BREITENFELDE";35;"53°36'";"10°38'";735.1;53.6;10.63
"BREITENHEES";122;"52°50'";"10°29'";753.3;52.83;10.48
"BREITENHEIM";180;"49°41'";"07°37'";747.2;49.68;7.62
"BREITENSTEIN";466;"51°37'";"10°57'";795.2;51.62;10.95
"BREITINGEN";536;"48°31'";"09°59'";770.4;48.52;9.98
"BREITNAU";1001;"47°56'";"08°04'";1417.6;47.93;8.07
"BREITUNGEN/WERRA";245;"50°43'";"10°19'";615.1;50.72;10.32
"BREITUNGEN/WERRA 1";250;"50°46'";"10°20'";625.8;50.77;10.33
"BREKENDORF";35;"54°26'";"09°38'";841.2;54.43;9.63
"BREKLUM-RIDDORF";21;"54°37'";"08°59'";828.7;54.62;8.98
"BREMEN (BAYERNSTR.)";3;"53°07'";"08°48'";722.5;53.12;8.8
"BREMEN (BUERGERPARK)";2;"53°05'";"08°49'";712.8;53.08;8.82
"BREMEN (FLUGWEWA)";5;"53°02'";"08°47'";693.8;53.03;8.78
"BREMEN (RITTERH.HEERSTR)";1;"53°08'";"08°44'";700.9;53.13;8.73
"BREMEN (WARTURM.HEERSTR)";3;"53°04'";"08°46'";719.6;53.07;8.77
"BREMEN-BLUMENTHAL";8;"53°11'";"08°35'";719.1;53.18;8.58
"BREMEN-FARGE";4;"53°12'";"08°30'";638.8;53.2;8.5
"BREMEN-MITTELSBUEREN";2;"53°08'";"08°43'";700.2;53.13;8.72
"BREMEN-OSTERHOLZ";5;"53°03'";"08°57'";740.2;53.05;8.95
"BREMEN-STROM";2;"53°05'";"08°42'";753.2;53.08;8.7
"BREMERHAVEN (WEWA)";7;"53°32'";"08°34'";741.4;53.53;8.57
"BREMERVOERDE";5;"53°28'";"09°09'";778.5;53.47;9.15
"BREMERVOERDE-ND.OCHTENH.";5;"53°31'";"09°10'";733.9;53.52;9.17
"BREMSDORF";100;"52°08'";"14°29'";582.1;52.13;14.48
"BRENNES";1040;"49°08'";"13°08'";1567.4;49.13;13.13
"BRETSCH";30;"52°50'";"11°37'";513.1;52.83;11.62
"BRETTEN-DUERRENBUECHIG";204;"49°01'";"08°38'";831.0;49.02;8.63
"BRETTEN-RUIT";214;"49°00'";"08°43'";825.5;49;8.72
"BREUBERG-HAINSTADT";180;"49°50'";"09°02'";805.6;49.83;9.03
"BRIESEN, KRS.COTTBUS";59;"51°49'";"14°15'";512.5;51.82;14.25
"BRIESKOW-FINKENHEERD";35;"52°14'";"14°34'";555.8;52.23;14.57
"BRILON";472;"51°24'";"08°33'";1089.8;51.4;8.55
"BRILON-BONTKIRCHEN";435;"51°21'";"08°39'";1060.9;51.35;8.65
"BRILON-NIEDERALME";310;"51°27'";"08°37'";886.4;51.45;8.62
"BRILON-SCHARFENBERG";438;"51°25'";"08°32'";1017.9;51.42;8.53
"BROCKEN (WEWA)";1142;"51°48'";"10°37'";1814.1;51.8;10.62
"BROKELOH";33;"52°33'";"09°12'";699.2;52.55;9.2
"BROKSTEDT";10;"53°59'";"09°49'";865.9;53.98;9.82
"BROMBACHTAL-KIRCH-BROMB.";290;"49°44'";"08°57'";914.0;49.73;8.95
"BROTTERODE";600;"50°49'";"10°27'";1092.3;50.82;10.45
"BRUCHHAUSEN VILSEN";24;"52°50'";"08°57'";645.5;52.83;8.95
"BRUCHMUEHLBACH-MIESAU";238;"49°23'";"07°27'";783.2;49.38;7.45
"BRUCHSAL-HEIDELSHEIM";126;"49°06'";"08°38'";734.4;49.1;8.63
"BRUCHWEILER";545;"49°48'";"07°13'";830.8;49.8;7.22
"BRUCK";370;"49°15'";"12°18'";689.3;49.25;12.3
"BRUCKBERG/NDB.-POERNDORF";491;"48°33'";"11°59'";759.0;48.55;11.98
"BRUCKMUEHL-OBERWALL";549;"47°56'";"11°56'";1258.3;47.93;11.93
"BRUECK";52;"52°10'";"12°44'";522.3;52.17;12.73
"BRUECKEN";390;"49°37'";"07°06'";1020.6;49.62;7.1
"BRUECKEN/HELME";139;"51°26'";"11°12'";490.1;51.43;11.2
"BRUECKENAU,BAD";310;"50°18'";"09°47'";908.8;50.3;9.78
"BRUEEL";28;"53°44'";"11°42'";590.7;53.73;11.7
"BRUEGGEN";40;"51°14'";"06°09'";774.2;51.23;6.15
"BRUEHL";61;"50°49'";"06°54'";681.2;50.82;6.9
"BRUENNSTEINHAUS";1360;"47°38'";"12°05'";1594.1;47.63;12.08
"BRUMBY";70;"51°53'";"11°42'";456.1;51.88;11.7
"BRUNSBUETTEL";2;"53°55'";"09°08'";829.9;53.92;9.13
"BRUNSLEBERFELD";198;"52°11'";"10°51'";740.1;52.18;10.85
"BRUTTIG-FANKEL";97;"50°08'";"07°14'";716.1;50.13;7.23
"BUCHA";310;"50°52'";"11°30'";610.3;50.87;11.5
"BUCHAU,BAD";585;"48°03'";"09°37'";855.8;48.05;9.62
"BUCHEN,KR.NECKAR-ODW.";340;"49°31'";"09°19'";804.1;49.52;9.32
"BUCHENBERG";900;"47°41'";"10°14'";1690.8;47.68;10.23
"BUCHENBERG-KREUZTHAL";914;"47°43'";"10°08'";1964.5;47.72;10.13
"BUCHHOLZ I.D.NORDHEIDE";77;"53°21'";"09°56'";850.0;53.35;9.93
"BUCHLOE";626;"48°02'";"10°44'";967.0;48.03;10.73
"BUECHEL";455;"50°10'";"07°04'";876.6;50.17;7.07
"BUECKEBURG (BW)";68;"52°17'";"09°05'";644.8;52.28;9.08
"BUEDINGEN";148;"50°16'";"09°07'";764.0;50.27;9.12
"BUEHLERTAL";190;"48°41'";"08°10'";1329.3;48.68;8.17
"BUEHLERTAL-OBERTAL";478;"48°40'";"08°10'";1450.7;48.67;8.17
"BUEHLERZELL";384;"49°00'";"09°55'";889.2;49;9.92
"BUEHNE-RIMBECK";100;"52°00'";"10°38'";559.2;52;10.63
"BUEHREN";297;"51°29'";"09°40'";762.9;51.48;9.67
"BUELSTRINGEN";58;"52°19'";"11°21'";571.2;52.32;11.35
"BUERCHAU";710;"47°46'";"07°49'";1787.0;47.77;7.82
"BUEREN";252;"51°32'";"08°33'";854.4;51.53;8.55
"BUEREN-WEWELSBURG";215;"51°36'";"08°39'";864.8;51.6;8.65
"BUERGEL";252;"50°56'";"11°45'";601.1;50.93;11.75
"BUESUM (WESTMOLENKOPF)";7;"54°07'";"08°51'";723.9;54.12;8.85
"BUETTHARD";263;"49°36'";"09°53'";636.4;49.6;9.88
"BUETTHOF";306;"48°43'";"08°15'";1511.2;48.72;8.25
"BUETTJEBUELL";5;"54°39'";"08°54'";815.2;54.65;8.9
"BUETZOW-WOLKEN";10;"53°51'";"12°01'";636.4;53.85;12.02
"BULLENKUHLEN";10;"53°46'";"09°44'";750.4;53.77;9.73
"BUNDORF";335;"50°12'";"10°31'";649.1;50.2;10.52
"BURBACH-WUERGENDORF";413;"50°45'";"08°06'";1134.0;50.75;8.1
"BURG,KR.DITHMARSCHEN";6;"54°00'";"09°16'";877.8;54;9.27
"BURG-BLUMENTHAL";39;"52°19'";"11°49'";490.4;52.32;11.82
"BURG/FEHMARN";10;"54°27'";"11°12'";586.7;54.45;11.2
"BURG/SPREEWALD";55;"51°50'";"14°08'";514.0;51.83;14.13
"BURGAU";480;"48°25'";"10°24'";826.8;48.42;10.4
"BURGBERNHEIM";356;"49°26'";"10°19'";669.6;49.43;10.32
"BURGDORF";56;"52°27'";"10°00'";656.8;52.45;10
"BURGEBRACH-OBERHARNSBACH";260;"49°49'";"10°47'";639.6;49.82;10.78
"BURGEN,KR.MAYEN-KOBLENZ";85;"50°12'";"07°23'";660.6;50.2;7.38
"BURGHAMMER-BURGNEUDORF";110;"51°30'";"14°23'";632.7;51.5;14.38
"BURGHAMMER-BURGNEUDORF 1";107;"51°29'";"14°22'";617.2;51.48;14.37
"BURGHASLACH";310;"49°44'";"10°36'";689.9;49.73;10.6
"BURGHAUSEN";413;"48°10'";"12°50'";946.6;48.17;12.83
"BURGK";450;"50°33'";"11°43'";605.5;50.55;11.72
"BURGKIRCHEN-GENDORF";425;"48°10'";"12°43'";896.7;48.17;12.72
"BURGKIRCHEN-SCHOENBERG";450;"48°09'";"12°43'";921.1;48.15;12.72
"BURGKUNSTADT";276;"50°08'";"11°14'";671.1;50.13;11.23
"BURGLENGENFELD";370;"49°13'";"12°02'";633.9;49.22;12.03
"BURGSDORF";200;"51°34'";"11°39'";497.4;51.57;11.65
"BURGSTAEDT";325;"50°54'";"12°48'";685.0;50.9;12.8
"BURGSTEIN-GROBAU";575;"50°25'";"11°56'";739.4;50.42;11.93
"BURGWALD-BOTTENDORF";293;"51°01'";"08°48'";698.6;51.02;8.8
"BURGWALD-WIESENFELD";305;"51°00'";"08°45'";705.0;51;8.75
"BURGWEDEL-FUHRBERG";40;"52°33'";"09°51'";672.9;52.55;9.85
"BURGWEDEL-KLEINBURGWEDEL";53;"52°30'";"09°52'";691.6;52.5;9.87
"BURK-MEIERNDORF";436;"49°08'";"10°30'";723.6;49.13;10.5
"BURKAU";236;"51°10'";"14°10'";736.9;51.17;14.17
"BURKHARDSWALDE-MUNZIG";200;"51°04'";"13°24'";665.8;51.07;13.4
"BURKHARDTSDORF";405;"50°44'";"12°55'";836.7;50.73;12.92
"BURLADINGEN";780;"48°17'";"09°07'";957.7;48.28;9.12
"BUSECK-GROSSEN-BUSECK";187;"50°36'";"08°47'";678.2;50.6;8.78
"BUTJADINGEN-BURHAVE";1;"53°34'";"08°21'";698.7;53.57;8.35
"BUTTELSTEDT-WEIDEN";250;"51°04'";"11°21'";543.6;51.07;11.35
"BUTTSTAEDT";192;"51°07'";"11°25'";528.4;51.12;11.42
"BUTZBACH-BODENROD";479;"50°23'";"08°32'";745.5;50.38;8.53
"BUTZBACH-KIRCH-GOENS";238;"50°28'";"08°39'";646.6;50.47;8.65
"BUTZOW";40;"52°29'";"12°36'";543.1;52.48;12.6
"CALDEN-FUERSTENWALD";281;"51°23'";"09°21'";742.8;51.38;9.35
"CALLENBERG";325;"50°50'";"12°38'";676.3;50.83;12.63
"CALVOERDE";62;"52°23'";"11°17'";564.4;52.38;11.28
"CAMBERG,BAD";244;"50°17'";"08°17'";659.2;50.28;8.28
"CAMBURG";147;"51°03'";"11°42'";579.4;51.05;11.7
"CARLOW";40;"53°45'";"10°56'";646.7;53.75;10.93
"CARLSFELD (AWST)";897;"50°25'";"12°36'";1229.8;50.42;12.6
"CARLSFELD TS (WEITERW.)";914;"50°25'";"12°35'";1219.0;50.42;12.58
"CARPIN";75;"53°21'";"13°14'";592.5;53.35;13.23
"CARPIN-SERRAHN";100;"53°20'";"13°12'";625.2;53.33;13.2
"CASEKOW";26;"53°13'";"14°13'";538.2;53.22;14.22
"CASTELL";403;"49°43'";"10°22'";700.0;49.72;10.37
"CELLE";38;"52°38'";"10°02'";692.1;52.63;10.03
"CELLE-HUSTEDT";47;"52°41'";"10°02'";722.2;52.68;10.03
"CELLE-WIETZENBRUCH (BW)";39;"52°35'";"10°01'";656.2;52.58;10.02
"CHAM";396;"49°13'";"12°40'";752.4;49.22;12.67
"CHEMNITZ (WEWA)";418;"50°47'";"12°52'";700.7;50.78;12.87
"CHEMNITZ-KUECHWALD";325;"50°51'";"12°54'";774.7;50.85;12.9
"CHIEMING/CHIEMSEE";525;"47°53'";"12°32'";1283.6;47.88;12.53
"CHIEMSEE-HERRENCHIEMSEE";536;"47°52'";"12°23'";1313.8;47.87;12.38
"CHRISTES";460;"50°40'";"10°29'";777.1;50.67;10.48
"CLAUEN";94;"52°14'";"10°01'";622.8;52.23;10.02
"CLAUSTHAL-Z.-BUNTENBOCK";525;"51°46'";"10°19'";1321.8;51.77;10.32
"CLAUSTHAL-Z.-ERBPRINZEN.";555;"51°49'";"10°20'";1308.1;51.82;10.33
"CLAUSTHAL-ZELLERFELD";566;"51°48'";"10°20'";1326.0;51.8;10.33
"CLENZE-BUSSAU";31;"52°57'";"10°59'";599.7;52.95;10.98
"CLOPPENBURG";40;"52°51'";"08°02'";795.5;52.85;8.03
"COBURG (STADT)";326;"50°15'";"10°57'";818.4;50.25;10.95
"COCHSTEDT";125;"51°52'";"11°24'";494.6;51.87;11.4
"COELBE";187;"50°50'";"08°46'";644.3;50.83;8.77
"COELPIN";80;"53°31'";"13°25'";546.4;53.52;13.42
"COESFELD";87;"51°57'";"07°09'";843.0;51.95;7.15
"COLDITZ";192;"51°08'";"12°46'";626.4;51.13;12.77
"COLMBERG";457;"49°21'";"10°24'";746.1;49.35;10.4
"COSWIG";110;"51°07'";"13°34'";589.1;51.12;13.57
"COTTBUS (WEWA)";69;"51°46'";"14°19'";563.0;51.77;14.32
"CRAILSHEIM-INGERSHEIM";417;"49°07'";"10°04'";810.5;49.12;10.07
"CRAWINKEL";469;"50°46'";"10°47'";775.2;50.77;10.78
"CREGLINGEN";306;"49°28'";"10°01'";715.0;49.47;10.02
"CREGLINGEN-FINSTERLOHR";422;"49°26'";"10°05'";730.5;49.43;10.08
"CREUSSEN-BUEHL";450;"49°50'";"11°37'";737.6;49.83;11.62
"CREUZBURG";197;"51°03'";"10°15'";641.4;51.05;10.25
"CRIEWEN";13;"53°00'";"14°13'";517.4;53;14.22
"CRIMMITSCHAU";269;"50°48'";"12°23'";631.6;50.8;12.38
"CRIMMITSCHAU-BLANKENHAIN";310;"50°48'";"12°18'";666.4;50.8;12.3
"CRIVITZ";40;"53°34'";"11°38'";614.5;53.57;11.63
"CROTTENDORF";652;"50°31'";"12°56'";883.7;50.52;12.93
"CUXHAVEN (WEWA)";5;"53°52'";"08°42'";818.5;53.87;8.7
"CUXHAVEN-ALTENBRUCH";2;"53°49'";"08°46'";837.4;53.82;8.77
"DABEL";45;"53°39'";"11°55'";595.4;53.65;11.92
"DACHAU";482;"48°14'";"11°26'";876.6;48.23;11.43
"DACHSBACH-RAUSCHENBERG";347;"49°39'";"10°40'";704.1;49.65;10.67
"DACHSBERG-WOLPADINGEN";888;"47°42'";"08°06'";1634.8;47.7;8.1
